Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,"Population ages 0-14, female",51017,52053,52983,53838,54648,55189,55687,56132,56528,56858,56979,57126,57241,57262,57177,57296,57259,57156,57111,57190,57365
Belize,BLZ,"Population ages 15-64, female",70601,73180,75752,78461,81357,84478,87746,91110,94518,97919,101562,105141,108700,112300,115944,119328,122804,126275,129647,132847,135934
Belize,BLZ,"Population ages 15-64, male",71614,74167,76721,79373,82172,85000,87861,90755,93657,96557,99858,103158,106467,109816,113175,116321,119495,122661,125754,128758,131615
Belize,BLZ,"Population ages 65 and above, female",5045,5089,5114,5131,5131,5344,5562,5797,6061,6360,6580,6817,7067,7357,7670,8023,8416,8842,9312,9823,10361
Belize,BLZ,"Population ages 65 and above, male",4722,4758,4769,4763,4732,5054,5412,5807,6264,6792,7058,7331,7623,7935,8268,8594,8934,9299,9687,10090,10538
Benin,BEN,"Population ages 0-14, male",1614069,1660407,1706656,1752273,1796927,1847549,1897338,1946572,1995686,2045058,2098392,2151179,2203675,2256164,2308717,2364082,2418852,2473008,2526470,2579221,2634976
Benin,BEN,"Population ages 0-14, female",1575302,1619275,1663176,1706859,1750255,1798417,1846260,1893845,1941214,1988449,2040215,2091100,2141538,2192047,2242865,2296358,2349450,2402126,2454268,2505800,2560107
Benin,BEN,"Population ages 15-64, female",1874891,1934078,1996322,2060991,2127629,2190371,2255488,2323180,2393777,2467466,2539187,2614825,2694141,2776893,2863003,2950020,3041234,3136289,3234818,3336519,3437667
Benin,BEN,"Population ages 15-64, male",1783657,1847622,1914946,1984501,2055490,2119765,2185637,2253864,2325499,2401161,2476803,2557280,2641889,2729644,2820011,2909841,3003145,3099937,3200303,3304206,3407400
Benin,BEN,"Population ages 65 and above, female",135585,138600,141744,145160,148937,153872,159016,164268,169457,174505,179820,184974,190019,194992,199962,205125,210211,215381,220809,226631,233115
Benin,BEN,"Population ages 65 and above, male",93224,95418,97712,100219,102985,106919,111051,115186,119080,122615,126412,129896,133332,137099,141404,146646,152300,158294,164483,170821,177766
Bhutan,BTN,"Population ages 0-14, male",119036,118682,118018,116923,115343,114524,113239,111656,109989,108400,106704,105068,103551,102236,101145,100003,99231,98713,98206,97564,97314
Bhutan,BTN,"Population ages 0-14, female",116185,115715,114793,113582,112239,110924,109550,108133,106707,105289,103740,102188,100683,99310,98139,97012,96251,95707,95162,94527,94184
Bhutan,BTN,"Population ages 15-64, female",166225,170466,174661,178893,183224,187387,191514,195637,199826,204102,208635,213283,217968,222543,226892,231096,234918,238480,241935,245369,248383
Bhutan,BTN,"Population ages 15-64, male",177967,185841,193973,201922,209354,214619,219284,223580,227888,232470,237659,243131,248762,254394,259902,265553,270989,276208,281291,286277,290633
Bhutan,BTN,"Population ages 65 and above, female",11234,11713,12167,12633,13119,13700,14287,14874,15458,16028,16604,17185,17762,18311,18836,19388,19895,20399,20965,21629,22382
Bhutan,BTN,"Population ages 65 and above, male",12996,13608,14228,14856,15465,16250,16999,17731,18461,19213,19955,20727,21509,22259,22971,23654,24279,24889,25535,26246,27004
Bolivia,BOL,"Population ages 0-14, male",1641015,1661077,1679651,1696558,1711600,1727237,1740137,1750875,1760347,1769081,1776660,1784231,1791110,1796235,1799140,1802404,1803158,1802267,1801268,1801059,1801553
Bolivia,BOL,"Population ages 0-14, female",1577320,1595602,1612463,1628003,1642182,1656579,1668687,1678983,1688166,1696626,1703357,1710037,1716097,1720615,1723190,1725951,1726462,1725555,1724650,1724540,1725016
Bolivia,BOL,"Population ages 15-64, female",2441539,2495594,2550788,2606917,2663941,2721335,2780645,2841455,2903207,2965536,3029293,3093118,3157341,3222577,3288984,3353950,3420463,3487820,3554754,3620489,3686784
